url,adaptive_support,description,duration,remote_support,test_type
https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,False,"Automata - Fix (New): A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to…",max 20 minutes,True,S: Simulations & Interactive Assessments
https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,False,"Core Java (Entry Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",13 minutes,True,K: Knowledge & Skills Tests
https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,False,"Java 8 (New): Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",18 minutes,True,K: Knowledge & Skills Tests
https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,False,"Core Java (Advanced Level) (New): Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics…",13 minutes,True,K: Knowledge & Skills Tests
https://www.shl.com/products/product-catalog/view/interpersonal-communications/,True,Interpersonal Communications: This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage…,15 to 35 minutes,True,K: Knowledge & Skills Tests
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,False,Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,20 minutes,True,B: Behavioral & Situational Judgment Tests; C: Competency Assessments; P: Personality Assessments
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,False,Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…,20 minutes,True,B: Behavioral & Situational Judgment Tests; C: Competency Assessments; P: Personality Assessments
https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,False,Entry Level Sales Solution: The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have…,20 minutes,True,C: Competency Assessments; P: Personality Assessments
https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,False,Sales Representative Solution: The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or…,29 minutes,True,A: Ability & Aptitude Tests; B: Behavioral & Situational Judgment Tests; P: Personality Assessments
https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,True,Business Communication (adaptive): This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers…,24 minutes,True,K: Knowledge & Skills Tests
https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,False,Technical Sales Associate Solution: The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires…,41 minutes,True,A: Ability & Aptitude Tests; B: Behavioral & Situational Judgment Tests; P: Personality Assessments
https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,False,"SVAR - Spoken English (Indian Accent)  (New): An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.     Your use of…",in minutes =,True,S: Simulations & Interactive Assessments
https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,False,"English Comprehension (New): Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",0 minutes,True,K: Knowledge & Skills Tests
